City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Iqaluit,CA,2020-11-23 17:19:15,63.75,-68.51,-4.0,70,40,14.99,scattered clouds
109,Srednekolymsk,RU,2020-11-23 17:19:15,67.45,153.68,3.43,94,100,14.16,overcast clouds
110,Cumra,TR,2020-11-23 17:19:16,37.57,32.77,37.4,64,0,4.36,clear sky
111,Shimoda,JP,2020-11-23 17:19:16,34.67,138.95,51.01,70,100,1.99,light rain
112,Morros,BR,2020-11-23 17:19:16,-9.45,-46.3,85.66,59,85,6.69,light rain
113,Hambantota,LK,2020-11-23 17:19:16,6.12,81.12,78.57,88,100,6.11,light rain
114,Avarua,CK,2020-11-23 17:19:16,-21.21,-159.78,73.4,94,89,1.12,overcast clouds
115,Didwana,IN,2020-11-23 17:19:16,27.4,74.57,62.51,30,0,8.43,clear sky
116,Tuatapere,NZ,2020-11-23 17:19:16,-46.13,167.68,48.0,89,91,1.99,overcast clouds
117,Visakhapatnam,IN,2020-11-23 17:19:17,17.69,83.21,78.8,69,90,6.93,haze
118,Rabat,MA,2020-11-23 17:16:11,33.99,-6.84,66.0,72,39,4.7,scattered clouds
119,Chuy,UY,2020-11-23 17:19:17,-33.7,-53.46,76.14,56,1,14.7,clear sky
120,Bella Union,UY,2020-11-23 17:19:17,-30.28,-57.6,90.63,35,0,13.33,clear sky
121,Malinovoye Ozero,RU,2020-11-23 17:19:17,51.68,79.78,21.58,98,100,1.7,light snow
122,Sistranda,NO,2020-11-23 17:19:17,63.73,8.83,39.2,86,75,21.92,broken clouds
123,Maldonado,UY,2020-11-23 17:19:17,-34.67,-54.92,82.4,39,0,9.17,clear sky
124,Husavik,IS,2020-11-23 17:19:18,66.04,-17.34,15.8,85,90,3.36,overcast clouds
125,Sangar,RU,2020-11-23 17:19:18,63.92,127.47,-22.58,87,88,3.83,overcast clouds
126,Canberra,AU,2020-11-23 17:14:39,-35.28,149.13,55.99,82,40,10.29,scattered clouds
127,Vanimo,PG,2020-11-23 17:19:18,-2.67,141.3,79.2,81,95,1.9,moderate rain
128,Tulsipur,NP,2020-11-23 17:19:18,28.13,82.3,55.56,70,0,3.65,clear sky
129,Hermanus,ZA,2020-11-23 17:19:18,-34.42,19.23,62.01,69,100,5.01,overcast clouds
130,Richards Bay,ZA,2020-11-23 17:19:18,-28.78,32.04,74.16,85,70,13.6,heavy intensity rain
131,Erdemli,TR,2020-11-23 17:19:18,36.6,34.31,59.86,46,0,2.04,clear sky
132,Lompoc,US,2020-11-23 17:14:53,34.64,-120.46,50.0,100,1,10.98,clear sky
133,Brownfield,US,2020-11-23 17:19:19,33.18,-102.27,48.0,99,100,1.99,overcast clouds
134,Ulagan,RU,2020-11-23 17:19:19,50.63,87.96,19.17,89,100,0.78,overcast clouds
135,Sitka,US,2020-11-23 17:19:19,57.05,-135.33,42.8,70,90,12.75,light rain
136,Chokurdakh,RU,2020-11-23 17:19:19,70.63,147.92,6.67,95,100,9.26,light snow
137,Mersing,MY,2020-11-23 17:19:19,2.43,103.84,77.0,94,98,4.7,light rain
138,Tooele,US,2020-11-23 17:19:19,40.53,-112.3,37.0,80,75,1.88,broken clouds
139,Bambous Virieux,MU,2020-11-23 17:19:19,-20.34,57.76,75.0,83,40,10.4,scattered clouds
140,Chapais,CA,2020-11-23 17:19:20,49.78,-74.85,23.0,85,90,8.05,light snow
141,Sal Rei,CV,2020-11-23 17:19:20,16.18,-22.92,82.4,69,75,13.87,broken clouds
142,Troitskoye,RU,2020-11-23 17:19:20,52.98,84.68,21.96,97,100,2.48,overcast clouds
143,Kodiak,US,2020-11-23 17:19:20,57.79,-152.41,42.8,81,90,11.41,moderate rain
144,Chapleau,CA,2020-11-23 17:19:20,47.84,-83.4,15.8,78,90,11.41,overcast clouds
145,Veraval,IN,2020-11-23 17:19:20,20.9,70.37,73.92,58,0,8.75,clear sky
146,East London,ZA,2020-11-23 17:19:20,-33.02,27.91,66.2,82,20,5.82,few clouds
147,Pevek,RU,2020-11-23 17:19:21,69.7,170.31,10.33,96,46,1.3,scattered clouds
148,Thurso,GB,2020-11-23 17:19:21,58.59,-3.53,46.4,81,40,16.11,moderate rain
149,Ponta Do Sol,PT,2020-11-23 17:19:21,32.67,-17.1,68.0,72,40,5.82,scattered clouds
150,Matay,EG,2020-11-23 17:19:21,28.42,30.78,66.15,47,83,9.53,broken clouds
151,Mayo,US,2020-11-23 17:19:21,38.89,-76.51,52.0,57,1,16.11,clear sky
152,Uchiza,PE,2020-11-23 17:19:21,-8.46,-76.46,82.62,60,100,1.88,light rain
153,Ambilobe,MG,2020-11-23 17:19:21,-13.2,49.05,78.85,65,39,4.88,scattered clouds
154,Saumur,FR,2020-11-23 17:19:01,47.33,-0.25,51.01,81,90,2.55,overcast clouds
