City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
472,Maceio,BR,84.2,scattered clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
476,Tahta,EG,73.4,clear sky,26.77,31.5,ماستر تك
482,Ixtapa,MX,82.99,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
487,Bintulu,MY,77.0,scattered clouds,3.17,113.03,900 Boutique INN
491,Chor,PK,71.33,clear sky,25.52,69.77,Asad U Bajeer Hotel
493,Matara,LK,77.41,overcast clouds,5.95,80.54,Amaloh Boutique Resort
498,Ugoofaaru,MV,82.4,broken clouds,5.67,73.0,Ungoofaaru Inn
501,Linares,CL,79.0,scattered clouds,-35.85,-71.6,Hotel Real
502,The Valley,AI,84.2,broken clouds,18.22,-63.06,CeBlue Villas & Beach Resort
511,Mazagao,BR,84.2,shower rain,-0.12,-51.29,Casa Lima Santos
513,Tarata,BO,82.4,few clouds,-17.62,-66.02,TARA TARA Centro Alternativo Hosting
516,Gifford,US,75.99,broken clouds,27.68,-80.41,SpringHill Suites by Marriott Vero Beach
520,Matalom,PH,78.21,light rain,10.28,124.79,Felepena's Lodge
529,Mahibadhoo,MV,82.56,light rain,3.78,72.97,Omadhoo Inn
536,Kanniyakumari,IN,80.67,overcast clouds,8.08,77.57,Sparsa
537,Key Largo,US,81.0,clear sky,25.09,-80.45,Bayside Inn Key Largo
540,Bajil,YE,80.55,light rain,15.06,43.29,فندق الصقر السياحي
543,Porto Belo,BR,81.0,few clouds,-27.16,-48.55,Costa Verde Beach Hotel
545,Ambanja,MG,78.13,light rain,-13.68,48.45,Hotel Marrakech
547,Santa Rosa,PH,79.0,few clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
548,Monrovia,LR,82.4,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
556,Sao Filipe,CV,80.82,clear sky,14.9,-24.5,Tortuga B&B
564,Kwekwe,ZW,78.53,light rain,-18.93,29.81,"Golden Mile Hotel, Kwekwe"
565,Calabar,NG,81.73,broken clouds,4.95,8.32,NAKS Hotels (Formerly NAF Club)
566,Wanning,CN,75.85,light rain,18.8,110.4,Paradise Hotel
569,San Policarpo,PH,80.89,light rain,12.18,125.51,JM Lodge
571,Alugan,PH,80.29,light rain,12.22,125.48,JM Lodge
572,Neiafu,TO,73.4,broken clouds,-18.65,-173.98,Mystic Sands
574,Timbiqui,CO,80.26,moderate rain,2.77,-77.67,hotel diana
586,Harlingen,US,80.6,scattered clouds,26.19,-97.7,Courtyard by Marriott Harlingen
587,Bandrele,YT,82.4,clear sky,-12.91,45.19,Les Baobabs
591,Lucero,PH,79.56,clear sky,16.41,119.91,Sundowners Vacation Villas
593,Lubango,AO,75.2,scattered clouds,-14.92,13.49,Hotel Serra da Chela
597,Biltine,TD,79.74,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
599,Coahuayana,MX,78.8,clear sky,18.73,-103.68,Hotel Los Arcos
600,Tignere,CM,76.14,broken clouds,7.37,12.65,SADECK
608,Alice Springs,AU,78.8,overcast clouds,-23.7,133.88,Desert Palms Alice Springs
611,Kalangala,UG,75.2,few clouds,-0.31,32.23,Ssese Habitat Resort
620,Comodoro Rivadavia,AR,75.2,few clouds,-45.87,-67.5,Austral Hotel
624,Tautira,PF,80.6,broken clouds,-17.73,-149.15,Pension Oaoa
626,Santa Isabel,BR,77.0,broken clouds,-23.32,-46.22,Chácara Sombra do Altíssimo
635,Kailua,US,78.8,broken clouds,21.4,-157.74,Sheffield House Bed & Breakfast
637,Prestea,GH,80.47,light rain,5.43,-2.14,Channel 5
641,Santa Maria Da Vitoria,BR,81.3,light rain,-13.39,-44.19,Pousada do Rio Corrente
642,Hobyo,SO,81.27,scattered clouds,5.35,48.53,Halane Hotel and Restaurent
644,Guantanamo,CU,84.2,broken clouds,20.14,-75.21,Hotel Marti
648,Salinopolis,BR,74.57,moderate rain,-0.61,-47.36,Salinas Park Resort Maçarico AP101
649,Dhidhdhoo,MV,82.51,broken clouds,6.88,73.1,Dhidhoo beach
652,Moyale,KE,71.71,broken clouds,3.52,39.06,WOCHES PALACE
653,Buala,SB,80.82,light rain,-8.14,159.59,Maringe Lagoon Lodge
655,Manjacaze,MZ,84.83,broken clouds,-24.71,33.88,Hotel Gani
657,Paciran,ID,80.15,moderate rain,-6.88,112.38,Tanjung Kodok Beach Resort
658,Saint-Joseph,RE,73.4,clear sky,-21.37,55.62,"""Plantation Bed and Breakfast"
660,Muisne,EC,80.6,broken clouds,0.6,-80.03,Quinta Samay
662,Axim,GH,81.28,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
667,Harper,LR,80.74,light rain,4.38,-7.72,Screensaver
672,Bemban,MY,78.8,heavy intensity rain,2.27,102.37,NeoHomeStay Gapam Lestari
673,Ternate,ID,81.5,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
674,Lubao,PH,77.0,broken clouds,14.92,120.55,Hacienda Gracia
677,Damietta,EG,71.6,scattered clouds,31.42,31.81,العواد لتجارة الابلكاش
